issue title,link,filtering type
"Reland ""Simple Custom Operator API, V0 (#98440)""",https://github.com/pytorch/pytorch/pull/99416,Step 1: Feature requests and general help requests
Fix test/test_proxy_tensor,https://github.com/pytorch/pytorch/pull/99415,Step 3: Issue not related to correctness bugs
[BE] Do not use unicode quotes,https://github.com/pytorch/pytorch/pull/99446,Step 1: Feature requests and general help requests
torch._int_mm: fix triton kernel caching,https://github.com/pytorch/pytorch/pull/99283,Step 3: Issue not related to correctness bugs
[EASY] Turn on slow path assertions but only on first run,https://github.com/pytorch/pytorch/pull/98945,Step 1: Feature requests and general help requests
Cache output tensors on execution,https://github.com/pytorch/pytorch/pull/98944,Step 1: Feature requests and general help requests
[Easy] Remove C++ call now that it wont be on hot path,https://github.com/pytorch/pytorch/pull/98943,Step 1: Feature requests and general help requests
Figure out a better way to handle shard test time for slow tests,https://github.com/pytorch/pytorch/issues/98262,Step 3: Issue not related to correctness bugs
[Dynamo] Inline class method,https://github.com/pytorch/pytorch/pull/89098,Step 1: Feature requests and general help requests
"[PT2E][Quant] Support for embedding op quantization via
ExecuTorchNativeQuantizer",https://github.com/pytorch/pytorch/pull/99106,Step 1: Feature requests and general help requests
"Reset joint graph fake mode earlier, and more comprehensively",https://github.com/pytorch/pytorch/pull/99391,Step 3: Issue not related to correctness bugs
[inductor] `AssertionError: Mixing fake modes NYI` from hf_Bart,https://github.com/pytorch/pytorch/issues/99286,Step 3: Issue not related to correctness bugs
Reland python ops,https://github.com/pytorch/pytorch/pull/99170,Step 1: Feature requests and general help requests
Fix isinstance on SymInt in dynamo,https://github.com/pytorch/pytorch/pull/99393,Step 3: Issue not related to correctness bugs
[PT2] `isinstance` check failure with dynamic shape (gpt-j-6B),https://github.com/pytorch/pytorch/issues/99291,Step 3: Issue not related to correctness bugs
[CI] Collect inductor max-autotune performance every Sunday,https://github.com/pytorch/pytorch/pull/99387,Step 1: Feature requests and general help requests
Fix meta_index_input,https://github.com/pytorch/pytorch/pull/98589,Step 3: Issue not related to correctness bugs
"FakeTensor RuntimeError when running fx.Interpreter in fake_mode while ""dynamic"" is set to True",https://github.com/pytorch/pytorch/issues/97250,Step 3: Issue not related to correctness bugs
Fix the pt2e UT path after refactor,https://github.com/pytorch/pytorch/pull/99402,Step 2: Issue not discussing a bug within torch.compile
[dynamo 3.11] implement 3.11 exceptiontable,https://github.com/pytorch/pytorch/pull/96511,Step 1: Feature requests and general help requests
[dynamo] support setting compile_threads in the benchmark,https://github.com/pytorch/pytorch/pull/92371,Step 1: Feature requests and general help requests
Fix bug in check required output size in _as_strided_scatter_meta,https://github.com/pytorch/pytorch/pull/98483,Step 3: Issue not related to correctness bugs
[Inductor] Unify Inductor CUDA & CPUT unit tests input clone function,https://github.com/pytorch/pytorch/pull/99118,Step 1: Feature requests and general help requests
Test and document dynamo backward hooks support,https://github.com/pytorch/pytorch/pull/99382,Step 1: Feature requests and general help requests
Delete use_functionalize feature flag,https://github.com/pytorch/pytorch/pull/99317,Step 1: Feature requests and general help requests
Delete functorch use_fake_tensor and debug_fake_cross_ref,https://github.com/pytorch/pytorch/pull/99314,Step 1: Feature requests and general help requests
Make run_fwd_maybe_bwd work with int inputs,https://github.com/pytorch/pytorch/pull/99365,Step 3: Issue not related to correctness bugs
Grab Current Tracing Fake Mode in a couple spots,https://github.com/pytorch/pytorch/pull/99377,Step 1: Feature requests and general help requests
[ONNX] Retire 'DynamoOptimizeExporter',https://github.com/pytorch/pytorch/pull/99202,Step 1: Feature requests and general help requests
[torch.compile] raises `dense_to_mkldnn expects float or bfloat16 tensor input`,https://github.com/pytorch/pytorch/issues/98979,Step 3: Issue not related to correctness bugs
[inductor][easy] create a wrap for triton do_bench function,https://github.com/pytorch/pytorch/pull/99216,Step 1: Feature requests and general help requests
enable data type propagation,https://github.com/pytorch/pytorch/pull/98065,Step 1: Feature requests and general help requests
Make Adam optimizer (almost) work,https://github.com/pytorch/pytorch/pull/98647,Step 1: Feature requests and general help requests
"Revert ""Revert ""Expandable blocks in allocator (#96995)""""",https://github.com/pytorch/pytorch/pull/99275,Step 1: Feature requests and general help requests
module.register_forward_hook only captures some layers when using torch.compile,https://github.com/pytorch/pytorch/issues/96722,Step 3: Issue not related to correctness bugs
Test and document dynamo backward hooks support,https://github.com/pytorch/pytorch/pull/99208,Step 1: Feature requests and general help requests
[pt2] add meta function for `linalg.cross`,https://github.com/pytorch/pytorch/pull/99279,Step 1: Feature requests and general help requests
[pt2] add `SymInt` support for `column_stack`,https://github.com/pytorch/pytorch/pull/99276,Step 1: Feature requests and general help requests
The PyTorch 2.0 logging system is not consistent,https://github.com/pytorch/pytorch/issues/99144,Step 3: Issue not related to correctness bugs
"Back out ""Disable dynamo tracing torchrec.distributed (#97824)""",https://github.com/pytorch/pytorch/pull/99088,Step 1: Feature requests and general help requests
[Quant][pt2e] torch.mean and ReLU6,https://github.com/pytorch/pytorch/pull/98984,Step 1: Feature requests and general help requests
[quant][pt2e] QAT Linear,https://github.com/pytorch/pytorch/pull/98897,Step 1: Feature requests and general help requests
[quant][pt2e] QAT conv + bn + relu,https://github.com/pytorch/pytorch/pull/98896,Step 1: Feature requests and general help requests
Add unbacked symbool support,https://github.com/pytorch/pytorch/pull/98877,Step 1: Feature requests and general help requests
[quant][fix] Compare resnet with quantizer api with the prepare_fx and decomposed convert flow,https://github.com/pytorch/pytorch/pull/98905,Step 3: Issue not related to correctness bugs
Enable inductor opinfo tests for all inputs,https://github.com/pytorch/pytorch/pull/90316,Step 1: Feature requests and general help requests
[PT2E][Quant] Support specifying None for obs_or_fq_ctr in target_dtype_info,https://github.com/pytorch/pytorch/pull/99071,Step 1: Feature requests and general help requests
[PT2E][Quant][BE] Refactor observer code,https://github.com/pytorch/pytorch/pull/99066,Step 1: Feature requests and general help requests
